vicinity	the area near or surrounding a particular place.	
disperse	distribute or spread over a wide area.	
flute	a wind instrument made from a tube with holes that are stopped by the fingers or keys, held vertically or horizontally so that the player's breath strikes a narrow edge.	
garment	an item of clothing.	
preposterous	<div>contrary to reason or common sense; utterly absurd or ridiculous.</div>	
frivolous	not having any serious purpose or value.	
momentous	of great importance or significance, especially in having a bearing on future events.	
organ (music)	a large musical instrument having rows of pipes supplied with air from bellows, and played using a keyboard or by an automatic mechanism.	
harpsichord	a keyboard instrument with horizontal strings which run perpendicular to the keyboard in a long tapering case, and are plucked by points of quill, leather, or plastic operated by depressing the keys.&nbsp;	
renaissance	the revival of European art and literature under the influence of classical models in the 14th–16th centuries.	
conquest	the subjugation and assumption of control of a place or people by military force.	
showman	a person who produces or presents shows as a profession, especially the proprietor, manager, or MC of a circus, fair, or other variety show.	
weave /&nbsp;wove / woven	form (fabric or a fabric item) by interlacing long threads passing in one direction with others at a right angle to them.	
as late as	used for saying that something happened or continued more recently than you would expect.	
profound	(of a state, quality, or emotion) very great or intense.	
