cap (past: capped)	place a limit or restriction.	
advent	the arrival of a notable person or thing.	
rut	a habit or pattern of behaviour that has become dull and unproductive but is hard to change.	
pore	a minute opening in a surface, especially the skin or integument of an organism, through which gases, liquids, or microscopic particles may pass.	
gland	an organ in the human or animal body which secretes particular chemical substances for use in the body or for discharge into the surroundings.	
curl	form or cause to form into a curved or spiral shape.	
canopy	an ornamental cloth covering hung or held up over something, especially a throne or bed.	
drape	long curtains.	
sheath	a close-fitting cover for the blade of a knife or sword.	
cilium (plural: cilia)	an eyelash.	
grasshopper	a plant-eating insect with long hind legs which are used for jumping and for producing a chirping sound, frequenting grassy places and low vegetation.	
